GPU Times, time.time(), clock_realtime
696900710662,1674351768.797559,1674351768.797570
696900741509,1674351768.830803,1674351768.830813
696900772358,1674351768.859399,1674351768.859410
696900803206,1674351768.890223,1674351768.890232
696900834053,1674351768.921184,1674351768.921194
696900864901,1674351768.952095,1674351768.952105
696900895748,1674351768.985040,1674351768.985050
696900926597,1674351769.013485,1674351769.013495
696900957444,1674351769.044497,1674351769.044508
696900988292,1674351769.075320,1674351769.075331
696901019140,1674351769.106170,1674351769.106180
696901049988,1674351769.139688,1674351769.139698
696901080835,1674351769.167815,1674351769.167825
696901111683,1674351769.198539,1674351769.198550
696901142531,1674351769.229404,1674351769.229415
696901173379,1674351769.260419,1674351769.260429
696901204227,1674351769.293670,1674351769.293681
696901235075,1674351769.322364,1674351769.322375
696901265923,1674351769.352877,1674351769.352887
696901296770,1674351769.383740,1674351769.383750
696901327618,1674351769.414520,1674351769.414531
696901358466,1674351769.447658,1674351769.447668
696901389314,1674351769.476238,1674351769.476248
696901420162,1674351769.507217,1674351769.507228
696901451009,1674351769.537941,1674351769.537951
696901481857,1674351769.568808,1674351769.568818
696901512705,1674351769.601982,1674351769.601992
696901543553,1674351769.630556,1674351769.630566
696901574401,1674351769.661223,1674351769.661232
696901605249,1674351769.692450,1674351769.692461
696901636097,1674351769.723128,1674351769.723139
696901666944,1674351769.756362,1674351769.756372
696901697792,1674351769.784902,1674351769.784912
696901728640,1674351769.815750,1674351769.815761
696901759487,1674351769.846608,1674351769.846618
696901790335,1674351769.877525,1674351769.877535
696901821183,1674351769.910711,1674351769.910720
696901852031,1674351769.939327,1674351769.939337
696901882879,1674351769.970075,1674351769.970085
696901913726,1674351770.000986,1674351770.000997
696901944575,1674351770.031731,1674351770.031741
696901975422,1674351770.065141,1674351770.065152
696902006270,1674351770.093420,1674351770.093430
696902037117,1674351770.124221,1674351770.124232
696902067966,1674351770.155074,1674351770.155084
696902098813,1674351770.185849,1674351770.185863
696902129661,1674351770.219056,1674351770.219067
696902160509,1674351770.247701,1674351770.247712
696902191357,1674351770.278327,1674351770.278337
696902222205,1674351770.309183,1674351770.309193
696902253053,1674351770.340132,1674351770.340142
696902283901,1674351770.373168,1674351770.373177
696902314748,1674351770.401845,1674351770.401856
696902345596,1674351770.432792,1674351770.432802
696902376443,1674351770.463461,1674351770.463471
696902407292,1674351770.494287,1674351770.494297
696902438139,1674351770.531935,1674351770.531945
696902468987,1674351770.556247,1674351770.556257
696902499835,1674351770.586921,1674351770.586932
696902530683,1674351770.617722,1674351770.617732
696902561530,1674351770.648377,1674351770.648387
696902592378,1674351770.681746,1674351770.681756
696902623227,1674351770.710498,1674351770.710508
696902654074,1674351770.741194,1674351770.741204
696902684922,1674351770.772023,1674351770.772033
696902715769,1674351770.802873,1674351770.802883
696902746617,1674351770.835876,1674351770.835887
696902777465,1674351770.864391,1674351770.864401
696902808313,1674351770.895328,1674351770.895338
696902839161,1674351770.925789,1674351770.925799
696902870009,1674351770.956794,1674351770.956803
696902900856,1674351770.990096,1674351770.990107
696902931704,1674351771.018439,1674351771.018449
696902962552,1674351771.049432,1674351771.049443
696902993400,1674351771.080556,1674351771.080566
696903024248,1674351771.111209,1674351771.111220
696903055095,1674351771.144412,1674351771.144423
696903085943,1674351771.172785,1674351771.172795
696903116791,1674351771.203768,1674351771.203779
696903147639,1674351771.234455,1674351771.234465
696903178487,1674351771.265456,1674351771.265466
696903209334,1674351771.298531,1674351771.298541
696903240182,1674351771.327114,1674351771.327124
696903271030,1674351771.357904,1674351771.357914
696903301879,1674351771.388561,1674351771.388571
696903332726,1674351771.419683,1674351771.419693
696903363573,1674351771.453132,1674351771.453142
696903394421,1674351771.481508,1674351771.481519
696903425269,1674351771.512357,1674351771.512367
696903456117,1674351771.543143,1674351771.543152
696903486965,1674351771.573809,1674351771.573819
696903517812,1674351771.607185,1674351771.607195
696903548660,1674351771.635879,1674351771.635889
696903579508,1674351771.666500,1674351771.666510
696903610356,1674351771.697390,1674351771.697401
696903641205,1674351771.728196,1674351771.728206
696903672053,1674351771.761428,1674351771.761438
696903702899,1674351771.790024,1674351771.790034
696903733747,1674351771.820921,1674351771.820931
696903764595,1674351771.851704,1674351771.851713
696903795443,1674351771.882596,1674351771.882607
696903826290,1674351771.915760,1674351771.915770
696903857139,1674351771.944330,1674351771.944340
696903887987,1674351771.975122,1674351771.975132
696903918834,1674351772.006012,1674351772.006022
696903949682,1674351772.036390,1674351772.036401
696903980529,1674351772.069695,1674351772.069704
696904011378,1674351772.098375,1674351772.098385
696904042225,1674351772.129064,1674351772.129075
